epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8647.02,0.13694,0.11332,0.77297,0.90323,0.93411,0.9426,0.90466,0.24658,0.35759,0.81686,0.005842,0.005842,0.005842
44,8846.54,0.13571,0.11205,0.77338,0.89823,0.91894,0.92118,0.88133,0.28363,0.41277,0.82392,0.005743,0.005743,0.005743
45,9043.88,0.13323,0.11084,0.77254,0.90393,0.94794,0.93431,0.89477,0.25554,0.3368,0.81818,0.005644,0.005644,0.005644
46,9239.6,0.13077,0.10954,0.77181,0.85209,0.89261,0.89503,0.85515,0.26787,0.543,0.82336,0.005545,0.005545,0.005545
47,9438.11,0.13166,0.10948,0.77153,0.8311,0.87058,0.8608,0.82417,0.27214,0.64659,0.82332,0.005446,0.005446,0.005446
48,9634.92,0.12854,0.10797,0.77164,0.84138,0.88788,0.88711,0.84775,0.2726,0.55215,0.82261,0.005347,0.005347,0.005347
49,9832.55,0.12652,0.10725,0.77104,0.85296,0.88267,0.87287,0.83427,0.26556,0.56249,0.82318,0.005248,0.005248,0.005248
50,10029.8,0.12497,0.10381,0.77102,0.83266,0.89479,0.85189,0.81326,0.27833,0.59272,0.82531,0.005149,0.005149,0.005149
51,10236.6,0.12212,0.10324,0.77053,0.78634,0.85881,0.81878,0.7855,0.27888,0.7708,0.82539,0.00505,0.00505,0.00505
52,10432.1,0.12065,0.10044,0.77054,0.84445,0.89129,0.87965,0.84239,0.27961,0.56419,0.82645,0.004951,0.004951,0.004951
53,10628.9,0.1192,0.10153,0.77047,0.86722,0.9119,0.89673,0.85787,0.27345,0.47204,0.82584,0.004852,0.004852,0.004852
54,10825.9,0.11745,0.10072,0.77039,0.84007,0.90062,0.87053,0.83613,0.26765,0.54869,0.82323,0.004753,0.004753,0.004753
55,11024,0.11706,0.10014,0.77013,0.87449,0.89031,0.88914,0.85045,0.27785,0.50213,0.83062,0.004654,0.004654,0.004654
56,11221.7,0.11486,0.09806,0.76976,0.85214,0.90572,0.87999,0.84333,0.25265,0.52169,0.81914,0.004555,0.004555,0.004555
57,11417.5,0.11427,0.09761,0.77055,0.86438,0.91045,0.89495,0.86151,0.25613,0.49391,0.82152,0.004456,0.004456,0.004456
58,11614.9,0.11233,0.09705,0.77018,0.86213,0.88778,0.88539,0.84917,0.25906,0.52981,0.81952,0.004357,0.004357,0.004357
59,11812.8,0.10889,0.09516,0.76863,0.87411,0.90644,0.90143,0.86397,0.25564,0.48612,0.81693,0.004258,0.004258,0.004258
60,12011.7,0.10789,0.09446,0.76933,0.87391,0.92343,0.91757,0.88227,0.25021,0.43222,0.81615,0.004159,0.004159,0.004159
61,12209.6,0.1075,0.09348,0.76886,0.83897,0.90135,0.89102,0.85379,0.26104,0.56246,0.82321,0.00406,0.00406,0.00406
62,12407.5,0.10362,0.09134,0.76818,0.86096,0.913,0.89842,0.8615,0.26103,0.50256,0.82027,0.003961,0.003961,0.003961
63,12604.7,0.10214,0.09014,0.76757,0.86247,0.9039,0.89103,0.85376,0.26642,0.51114,0.82273,0.003862,0.003862,0.003862
64,12800.2,0.1013,0.08878,0.76763,0.82234,0.88968,0.86335,0.82385,0.29125,0.61767,0.83711,0.003763,0.003763,0.003763
65,12997.7,0.09909,0.08714,0.76747,0.86863,0.89302,0.89093,0.85166,0.27537,0.51681,0.82578,0.003664,0.003664,0.003664
66,13200.9,0.09727,0.08757,0.7672,0.8741,0.8988,0.90676,0.87077,0.24867,0.49897,0.81967,0.003565,0.003565,0.003565
67,13400,0.09574,0.08643,0.76696,0.86269,0.90113,0.88926,0.85158,0.26806,0.54341,0.82432,0.003466,0.003466,0.003466
68,13599.2,0.09573,0.08525,0.76698,0.88186,0.91032,0.91112,0.87528,0.24592,0.47661,0.81912,0.003367,0.003367,0.003367
69,13796.7,0.09368,0.08472,0.76701,0.8981,0.92064,0.92489,0.88651,0.25591,0.41268,0.82341,0.003268,0.003268,0.003268
70,13993.2,0.09026,0.08143,0.76677,0.87204,0.90499,0.89435,0.85431,0.26719,0.50611,0.82624,0.003169,0.003169,0.003169
71,14192.8,0.08823,0.07949,0.76641,0.88811,0.90972,0.89997,0.85945,0.26438,0.47142,0.82393,0.00307,0.00307,0.00307
72,14389.7,0.08848,0.07926,0.76665,0.90656,0.93375,0.93266,0.89215,0.25421,0.38233,0.82379,0.002971,0.002971,0.002971
73,14590.8,0.08655,0.08059,0.76561,0.9048,0.921,0.92905,0.88673,0.26519,0.39967,0.82566,0.002872,0.002872,0.002872
74,14799.7,0.08474,0.07817,0.76576,0.89262,0.9169,0.9237,0.88054,0.26338,0.43614,0.82637,0.002773,0.002773,0.002773
75,15013.1,0.08294,0.07716,0.7652,0.90465,0.921,0.9238,0.88163,0.26555,0.40675,0.8256,0.002674,0.002674,0.002674
76,15228,0.08145,0.07593,0.76495,0.90557,0.91409,0.92785,0.8847,0.2749,0.40012,0.83214,0.002575,0.002575,0.002575
77,15441.6,0.08045,0.07517,0.76506,0.9071,0.92417,0.92702,0.88257,0.26972,0.39041,0.82783,0.002476,0.002476,0.002476
78,15662.9,0.07854,0.07375,0.76493,0.89659,0.93743,0.92913,0.88571,0.26758,0.38813,0.82753,0.002377,0.002377,0.002377
79,15878.4,0.07798,0.07332,0.76445,0.88611,0.93047,0.92574,0.88425,0.26456,0.41282,0.82569,0.002278,0.002278,0.002278
80,16096.1,0.07675,0.07339,0.76455,0.88678,0.92376,0.92523,0.88238,0.26677,0.41297,0.82592,0.002179,0.002179,0.002179
81,16307.4,0.07418,0.07108,0.76449,0.8962,0.92829,0.92995,0.88819,0.25767,0.40213,0.82242,0.00208,0.00208,0.00208
82,16511.5,0.07239,0.06988,0.76402,0.89407,0.93714,0.93175,0.8892,0.25811,0.38777,0.82544,0.001981,0.001981,0.001981
83,16721.8,0.07093,0.06822,0.76386,0.88636,0.90855,0.90757,0.86763,0.26187,0.47154,0.82641,0.001882,0.001882,0.001882
84,16923.1,0.07002,0.06845,0.76348,0.88373,0.92412,0.91846,0.87849,0.25711,0.44445,0.82255,0.001783,0.001783,0.001783
85,17130.7,0.06837,0.06729,0.76332,0.9024,0.93083,0.92835,0.88837,0.2576,0.40459,0.82234,0.001684,0.001684,0.001684
86,17344.5,0.06762,0.06647,0.76349,0.89931,0.92338,0.92575,0.88571,0.2547,0.41684,0.82309,0.001585,0.001585,0.001585
87,17561.1,0.06655,0.06539,0.76326,0.88795,0.91627,0.91553,0.87657,0.2525,0.4566,0.8214,0.001486,0.001486,0.001486
88,17774.9,0.06467,0.06371,0.76313,0.88902,0.91564,0.91989,0.88039,0.25209,0.44877,0.82157,0.001387,0.001387,0.001387
89,17990,0.06392,0.06315,0.76303,0.88561,0.90863,0.91516,0.87573,0.25655,0.46771,0.82347,0.001288,0.001288,0.001288
90,18204.5,0.06248,0.06177,0.76265,0.89217,0.91561,0.92027,0.88093,0.25481,0.44211,0.82288,0.001189,0.001189,0.001189
91,18412.9,0.06148,0.06106,0.76279,0.892,0.92603,0.92382,0.88396,0.25553,0.42914,0.82425,0.00109,0.00109,0.00109
92,18611.5,0.06056,0.06114,0.76247,0.90138,0.92501,0.92366,0.88393,0.25938,0.41903,0.82599,0.000991,0.000991,0.000991
93,18809.1,0.05838,0.0593,0.76231,0.90067,0.92428,0.92005,0.88053,0.26028,0.42311,0.82646,0.000892,0.000892,0.000892
94,19005,0.05845,0.0588,0.76237,0.90197,0.92443,0.91984,0.87971,0.25984,0.42207,0.82683,0.000793,0.000793,0.000793
95,19202.9,0.0567,0.05719,0.76229,0.89848,0.92719,0.9166,0.87811,0.25881,0.42562,0.82633,0.000694,0.000694,0.000694
96,19398.7,0.05522,0.0552,0.7622,0.89386,0.92276,0.91459,0.87551,0.25953,0.44196,0.82598,0.000595,0.000595,0.000595
97,19596.7,0.05478,0.05489,0.76245,0.88818,0.91882,0.91037,0.8712,0.2625,0.4555,0.82714,0.000496,0.000496,0.000496
98,19791.1,0.05309,0.05384,0.76241,0.87922,0.91918,0.90803,0.86926,0.2621,0.46948,0.82726,0.000397,0.000397,0.000397
99,19985.5,0.05221,0.05291,0.76206,0.87982,0.91942,0.90859,0.86994,0.26144,0.47103,0.82732,0.000298,0.000298,0.000298
100,20181.5,0.05163,0.05232,0.76224,0.87868,0.92013,0.90745,0.86887,0.26218,0.47512,0.82752,0.000199,0.000199,0.000199
